id,code,attributes,period,index1,index2,index3,index4
82,203,three-room flats on existing housing,2018 Q1,100.3,100.3,102.0,102.0
83,010,House price index,2018 Q2,NA,NA,NA,NA
84,100,New housing,2018 Q2,100.9,102.9,105.6,105.4
85,101,one-room flats on new housing,2018 Q2,100.3,102.1,106.7,107.0
86,102,two-room flats on new housing,2018 Q2,101.1,103.3,105.2,104.9
87,103,three-room flats on new housing,2018 Q2,102.1,103.7,104.3,103.2
88,200,Existing housing,2018 Q2,98.9,99.6,102.7,103.5
89,201,one-room flats on existing housing,2018 Q2,100.3,101.4,105.2,105.6
90,202,two-room flats on existing housing,2018 Q2,98.1,98.7,102.6,103.6
91,203,three-room flats on existing housing,2018 Q2,98.7,99.0,100.4,101.2
92,010,House price index,2018 Q3,NA,NA,NA,NA
93,100,New housing,2018 Q3,100.4 ,103.3,105.7,105.5
94,101,one-room flats on new housing,2018 Q3,100.3 ,102.4,106.7,106.9
95,102,two-room flats on new housing,2018 Q3,100.5 ,103.8,105.3,105.1
96,103,three-room flats on new housing,2018 Q3,100.6 ,104.4,104.7,103.7
97,200,Existing housing,2018 Q3,102.8 ,102.4,104.9,104.0
98,201,one-room flats on existing housing,2018 Q3,100.8 ,102.2,104.9,105.3
99,202,two-room flats on existing housing,2018 Q3,104.1 ,102.7,106.5,104.6
100,203,three-room flats on existing housing,2018 Q3,103.0 ,102.0,102.9,101.8
101,010,House price index,2018 Q4,NA,NA,NA,NA
102,100,New housing,2018 Q4,101.7,105.1,105.1,105.4
103,101,one-room flats on new housing,2018 Q4,101.3,103.7,103.7,106.1
104,102,two-room flats on new housing,2018 Q4,101.1,105.0,105.0,105.1
105,103,three-room flats on new housing,2018 Q4,103.6,108.1,108.1,104.8
106,200,Existing housing,2018 Q4,105.5,108.0,108.0,105.0
107,201,one-room flats on existing housing,2018 Q4,104.6,106.9,106.9,105.7
108,202,two-room flats on existing housing,2018 Q4,105.9,108.8,108.8,105.7
109,203,three-room flats on existing housing,2018 Q4,106.0 ,108.1,108.1,103.4
110,010,House price index,2019 Q1,102.6,102.6,NA,NA
111,100,New housing,2019 Q1,102.3,102.3,105.4,105.4
112,101,one-room flats on new housing,2019 Q1,102.3,102.3,104.3,104.3
113,102,two-room flats on new housing,2019 Q1,102.0,102.0,104.8,104.8
114,103,three-room flats on new housing,2019 Q1,103.0,103.0,109.6,109.6
115,200,Existing housing,2019 Q1,102.8,102.8,110.3,110.3
116,201,one-room flats on existing housing,2019 Q1,101.8,101.8,107.7,107.7
117,202,two-room flats on existing housing,2019 Q1,103.5,103.5,111.9,111.9
118,203,three-room flats on existing housing,2019 Q1,102.8,102.8,110.8,110.8
119,010,House price index,2019 Q2,101.9,104.5,NA,NA
120,100,New housing,2019 Q2,102.0,104.3,106.5,106.0
121,101,one-room flats on new housing,2019 Q2,100.8,103.1,104.8,104.5
122,102,two-room flats on new housing,2019 Q2,102.9,105.0,106.6,105.7
123,103,three-room flats on new housing,2019 Q2,103.3,106.4,110.9,110.3
124,200,Existing housing,2019 Q2,101.8,104.7,113.5,111.9
125,201,one-room flats on existing housing,2019 Q2,103.3,105.2,110.9,109.3
126,202,two-room flats on existing housing,2019 Q2,100.7,104.2,114.9,113.4
127,203,three-room flats on existing housing,2019 Q2,101.9,104.8,114.4,112.6
128,010,House price index,2019 Q3,101.0,105.6,NA,NA
129,100,New housing,2019 Q3,100.3,104.7,106.4,106.1
130,101,one-room flats on new housing,2019 Q3,100.5,103.6,105.0,104.7
131,102,two-room flats on new housing,2019 Q3,100.2,105.2,106.3,105.9
132,103,three-room flats on new housing,2019 Q3,100.0,106.4,110.2,110.2
133,200,Existing housing,2019 Q3,101.3,106.0,111.8,111.9
134,201,one-room flats on existing housing,2019 Q3,101.7,106.9,111.9,110.1
135,202,two-room flats on existing housing,2019 Q3,101.8,106.1,112.4,113.1
136,203,three-room flats on existing housing,2019 Q3,100.4,105.2,111.5,112.2
137,010,House price index,2019 Q4,102.8,108.6,NA,NA
138,100,New housing,2019 Q4,103.1,107.9,107.9,106.6
139,101,one-room flats on new housing,2019 Q4,103.6,107.4,107.4,105.4
140,102,two-room flats on new housing,2019 Q4,102.8,108.1,108.1,106.5
141,103,three-room flats on new housing,2019 Q4,102.5,109.1,109.1,109.9
142,200,Existing housing,2019 Q4,102.7,108.9,108.9,111.1
143,201,one-room flats on existing housing,2019 Q4,103.9,111.1,111.1,110.4
144,202,two-room flats on existing housing,2019 Q4,103.5,109.8,109.8,112.2
145,203,three-room flats on existing housing,2019 Q4,100.7,105.9,105.9,110.5
146,010,House price index,2020 Q1,102.8,102.8,108.8,108.8
147,100,New housing,2020 Q1,101.4,101.4,107.0,107.0
148,101,one-room flats on new housing,2020 Q1,101.7,101.7,106.7,106.7
149,102,two-room flats on new housing,2020 Q1,100.4,100.4,106.4,106.4
150,103,three-room flats on new housing,2020 Q1,103.1,103.1,109.2,109.2
151,200,Existing housing,2020 Q1,103.6,103.6,109.7,109.7
152,201,one-room flats on existing housing,2020 Q1,103.9,103.9,113.4,113.4
153,202,two-room flats on existing housing,2020 Q1,103.4,103.4,109.7,109.7
154,203,three-room flats on existing housing,2020 Q1,103.6,103.6,106.7,106.7
155,010,House price index,2020 Q2,101.6,104.5,108.4,108.6
156,100,New housing,2020 Q2,101.8,103.2,106.7,106.9
157,101,one-room flats on new housing,2020 Q2,102.1,103.8,108.1,107.4
158,102,two-room flats on new housing,2020 Q2,102.1,102.5,105.6,106.0
159,103,three-room flats on new housing,2020 Q2,100.3,103.4,106.0,107.6
160,200,Existing housing,2020 Q2,101.5,105.2,109.4,109.5
161,201,one-room flats on existing housing,2020 Q2,102.5,106.5,112.5,112.9
162,202,two-room flats on existing housing,2020 Q2,100.8,104.2,109.8,109.8
163,203,three-room flats on existing housing,2020 Q2,101.4,105.1,106.2,106.4
